Start Index,Stop Index,Start Time,End Time,X [m],Y [m],Z [m],Pitch [radians],Roll [radians],Yaw [radians]
6,48,0.25,2.35,0.352533,-0.309568,-21.381299,-0.017175,0.000298,-0.044526
100,142,4.95,7.05,0.191492,0.578579,-21.376094,0.001452,-0.016670,0.040136
197,237,9.80,11.80,-0.150589,0.105197,-19.386427,-0.000551,-0.012135,-0.013817
277,329,13.80,16.40,0.684730,0.018411,-32.781590,-0.005372,0.001318,0.041893
369,407,18.40,20.30,0.434299,-0.003757,-17.976666,0.160690,0.105549,-0.059015
440,485,21.95,24.20,3.981427,-2.823389,-23.638944,-0.192021,-0.093844,0.049514
613,661,30.60,33.00,-0.001520,-0.075387,-27.943726,0.047987,-0.004700,1.459900
733,774,36.60,38.65,-0.139125,0.087022,-20.451682,-0.001611,-0.010253,-1.476400
845,889,42.20,44.40,-0.641987,-4.129016,-21.225546,1.575496,-0.097429,-0.080252
947,991,47.30,49.50,-0.909985,-22.070812,-2.855779,-1.513114,0.009340,0.051571
1050,1088,52.45,54.35,2.612688,-0.019962,-16.336424,-0.005032,1.702818,-0.073442
1150,1195,57.45,59.70,23.021133,-0.039240,-1.887527,-0.040427,-1.616448,0.043937
Total Distance:,,,,29.435096,-28.681921,-227.241702,0.010323,-0.032157,-0.060501
